Extracting MNIST_data/train-images-idx3-ubyte.gz
Extracting MNIST_data/train-labels-idx1-ubyte.gz
Extracting MNIST_data/t10k-images-idx3-ubyte.gz
Extracting MNIST_data/t10k-labels-idx1-ubyte.gz
step 3074, trainig accuracy 1
step 3075, trainig accuracy 1
step 3080, trainig accuracy 0.98
step 3081, trainig accuracy 1
step 3082, trainig accuracy 1
step 3083, trainig accuracy 0.94
step 3088, trainig accuracy 0.98
step 3089, trainig accuracy 0.94
step 3090, trainig accuracy 1
step 3091, trainig accuracy 0.94
step 3096, trainig accuracy 1
step 3097, trainig accuracy 0.98
step 3098, trainig accuracy 0.96
step 3099, trainig accuracy 0.94
step 3200, trainig accuracy 0.98
step 3201, trainig accuracy 0.96
step 3202, trainig accuracy 0.98
step 3203, trainig accuracy 1
step 3208, trainig accuracy 0.96
step 3209, trainig accuracy 0.94
step 3210, trainig accuracy 1
step 3211, trainig accuracy 1
step 3216, trainig accuracy 1
step 3217, trainig accuracy 0.96
step 3218, trainig accuracy 0.96
step 3219, trainig accuracy 1
step 3224, trainig accuracy 0.98
step 3225, trainig accuracy 1
step 3226, trainig accuracy 0.94
step 3227, trainig accuracy 0.98
step 3328, trainig accuracy 0.96
step 3329, trainig accuracy 1
step 3330, trainig accuracy 1
step 3331, trainig accuracy 0.98
step 3336, trainig accuracy 1
step 3337, trainig accuracy 1
step 3338, trainig accuracy 0.9
step 3339, trainig accuracy 0.98
step 3344, trainig accuracy 1
step 3345, trainig accuracy 0.98
step 3346, trainig accuracy 1
step 3347, trainig accuracy 0.98
step 3352, trainig accuracy 1
step 3353, trainig accuracy 1
step 3354, trainig accuracy 0.98
step 3355, trainig accuracy 1
step 3456, trainig accuracy 1
step 3457, trainig accuracy 1
step 3458, trainig accuracy 1
step 3459, trainig accuracy 0.96
step 3464, trainig accuracy 0.98
step 3465, trainig accuracy 1
step 3466, trainig accuracy 0.98
step 3467, trainig accuracy 0.98
step 3472, trainig accuracy 1
step 3473, trainig accuracy 0.96
step 3474, trainig accuracy 0.98
step 3475, trainig accuracy 0.98
step 3480, trainig accuracy 1
step 3481, trainig accuracy 0.98
step 3482, trainig accuracy 1
step 3483, trainig accuracy 1
step 3584, trainig accuracy 0.98
step 3585, trainig accuracy 0.98
step 3586, trainig accuracy 1
step 3587, trainig accuracy 0.96
step 3592, trainig accuracy 0.96
step 3593, trainig accuracy 0.98
step 3594, trainig accuracy 1
step 3595, trainig accuracy 0.98
step 3600, trainig accuracy 1
step 3601, trainig accuracy 0.96
step 3602, trainig accuracy 1
step 3603, trainig accuracy 0.98
step 3608, trainig accuracy 0.98
step 3609, trainig accuracy 1
step 3610, trainig accuracy 0.98
step 3611, trainig accuracy 0.96
step 3712, trainig accuracy 0.94
step 3713, trainig accuracy 1
step 3714, trainig accuracy 1
step 3715, trainig accuracy 0.96
step 3720, trainig accuracy 0.98
step 3721, trainig accuracy 0.96
step 3722, trainig accuracy 1
step 3723, trainig accuracy 0.98
step 3728, trainig accuracy 1
step 3729, trainig accuracy 1
step 3730, trainig accuracy 0.98
step 3731, trainig accuracy 1
step 3736, trainig accuracy 0.98
step 3737, trainig accuracy 0.96
step 3738, trainig accuracy 1
step 3739, trainig accuracy 0.98
step 3840, trainig accuracy 1
step 3841, trainig accuracy 1
step 3842, trainig accuracy 1
step 3843, trainig accuracy 1
step 3848, trainig accuracy 0.98
step 3849, trainig accuracy 0.98
step 3850, trainig accuracy 0.96
step 3851, trainig accuracy 0.96
step 3856, trainig accuracy 1
step 3857, trainig accuracy 0.98
step 3858, trainig accuracy 0.96
step 3859, trainig accuracy 0.96
step 3864, trainig accuracy 0.98
step 3865, trainig accuracy 1
step 3866, trainig accuracy 0.94
step 3867, trainig accuracy 1
step 3968, trainig accuracy 0.96
step 3969, trainig accuracy 0.96
step 3970, trainig accuracy 1
step 3971, trainig accuracy 1
step 3976, trainig accuracy 1
step 3977, trainig accuracy 0.98
step 3978, trainig accuracy 0.98
step 3979, trainig accuracy 0.98
step 3984, trainig accuracy 0.98
step 3985, trainig accuracy 1
step 3986, trainig accuracy 1
step 3987, trainig accuracy 0.98
step 3992, trainig accuracy 1
step 3993, trainig accuracy 0.98
step 3994, trainig accuracy 0.98
step 3995, trainig accuracy 0.98
step 4096, trainig accuracy 0.98
step 4097, trainig accuracy 0.96
step 4098, trainig accuracy 1
step 4099, trainig accuracy 1
step 4104, trainig accuracy 1
step 4105, trainig accuracy 1
step 4106, trainig accuracy 1
step 4107, trainig accuracy 0.98
step 4112, trainig accuracy 0.98
step 4113, trainig accuracy 1
step 4114, trainig accuracy 0.98
step 4115, trainig accuracy 1
step 4120, trainig accuracy 0.96
step 4121, trainig accuracy 1
step 4122, trainig accuracy 1
step 4123, trainig accuracy 1
step 4224, trainig accuracy 0.98
step 4225, trainig accuracy 0.98
step 4226, trainig accuracy 1
step 4227, trainig accuracy 0.94
step 4232, trainig accuracy 1
step 4233, trainig accuracy 1
step 4234, trainig accuracy 0.98
step 4235, trainig accuracy 0.98
step 4240, trainig accuracy 0.98
step 4241, trainig accuracy 0.96
step 4242, trainig accuracy 1
